DISENO,Gramaje,PLANTA,GAP LO(mm),GAP LT(mm),Temp Horno 1,Temp Horno 2,Temp Horno 3,Temp Horno 4,Temp Horno 5,Temp Horno 6,Vel Vent Horno 1,Vel Vent Horno 2,Vel Vent Horno 3,Vel Vent Horno 4,Vel Vent Horno 5,Vel Vent Horno 6,Vel Linea,PESO IMPREGNADO LO1,PESO IMPREGNADO LC,PESO IMPREGNADO LT1,VOLATILES LO2,VOLATILES LC2,VOLATILES LT2,FLUIDEZ,ESTADO B LO3,ESTADO B LC3,ESTADO B LT3
13,60,3,0.09,0.087,126,126,126,217,220,142,1100,1100,1100,1300,1200,1100,33,154.6,155.3,155.6,5.7,4.9,5.6,4.1,36.0,59.1,42.5
13,60,3,0.09,0.087,126,126,126,217,220,142,1100,1100,1100,1300,1200,1100,33,154.6,155.3,155.6,5.7,4.9,5.6,4.1,36.0,59.1,42.5
13,60,0,0.09,0.087,130,130,130,214,220,137,1100,1100,1100,1300,1200,1100,33,153.7,154.2,151.8,6.2,5.8,6.1,5.0,22.6,38.8,30.4
13,60,0,0.09,0.087,130,130,130,214,220,137,1100,1100,1100,1300,1200,1100,33,156.6,153.7,154.0,5.7,5.2,5.8,5.0,24.7,44.1,29.4
13,60,0,0.09,0.087,130,130,130,214,220,137,1100,1100,1100,1300,1200,1100,33,148.9,148.9,147.6,5.6,5.0,5.7,4.1,20.9,37.0,21.5
13,60,0,0.09,0.087,130,130,130,214,220,137,1100,1100,1100,1300,1200,1100,33,149.6,150.8,148.2,6.1,5.3,5.4,5.1,21.2,40.9,28.7
15,65,0,0.104,0.107,138,138,138,219,223,138,1250,1250,1250,1300,1200,1100,33,168.1,167.5,168.7,6.3,5.6,5.9,5.1,20.6,33.3,21.2
15,65,0,0.104,0.107,138,138,138,219,223,138,1250,1250,1250,1300,1200,1100,33,168.1,167.5,168.7,6.3,5.6,5.9,5.1,20.6,33.3,21.2
15,65,0,0.104,0.107,138,138,138,219,223,138,1250,1250,1250,1300,1200,1100,33,171.8,169.1,169.1,6.7,5.5,5.9,3.7,24.2,50.5,35.1
15,65,0,0.104,0.107,138,138,138,219,223,138,1250,1250,1250,1300,1200,1100,33,171.8,169.1,169.1,6.7,5.5,5.9,3.7,24.2,50.5,35.1
